date_detail,score,firstnum,secondnum,mode,total_steps,no_of_mistakes,time_taken,avg_response_time,difficulty_level
17/03 06:26,25,7,6,Addition,12,9,14.79,1.232,Easy
17/03 06:26,9,9,6,Addition,11,10,5.049,0.459,Easy
